en,bn
Prostho o,প্রস্থও
Photoshooteo,ফোটোশ্যুটেও
Poneerselvomke,পনীরসেলভমকে
Orato,ওড়াত
Shohortoliteo,শহরতলিতেও
Taxi e,ট্যাক্সিই
Kokhonoi,কখনোই
Thattachchhole,ঠাট্টাচ্ছলে
Suhrider,সুহৃদের
Heartattack,হৃদ্‌রোগ
World eleven,বিশ্বএকাদশে
American's,মার্কিনীদের
Seventy two,৭২
The posts,পোস্টগুলো
Glue,আঠা
Beat,ঠুকেছিলেন
Prayer's,প্রার্থনার
CEO,সিইও
Salary,পগার
Helpful,সাহায্যকারী
After this,এ্ররপর
Infrastructure,রাষ্ট্রকাঠামো
Didn't receive,পায়নি
Fast,দ্রুতগতি
Bone,হাড়
Word,হোয়ার্ড
Satisfy,তুষ্ট
Accusse,দূষলেন
Abinashkumar,অবিনাশকুমার
Competitive,কম্পিটিটিভ
Kabaleroke,কাবালেরোকে
Golacche,গলাচ্ছে
Aworano,আওড়ান
Intuc,আইএনটিউইউসি
Nalin,নলিন
Bolalam,বোলালাম
Isar,ইশার
Pool,পুল
Ghurbe,ঘুরবে
Kolshi,কলসি
Odhinayokotte,অধিনায়কত্বে—
Pari,পারি৷
Krirakendrik,ক্রীড়াকেন্দ্রিক
Tyagike,ত্যাগীকে
Grohitar,গ্রহিতার
Akorshoniyota,আকর্ষণীয়তা
Rehabilitation,রিহ্যাবিটেশন
Dhoompaaner,ধূমপানের
Thalay,থালায়
Folwala,ফলওলা
Aashif,আশিফ৷
Bojhena,বোঝেনা
Chhatraparishader,ছাত্রপরিষদের
Bist,বিস্ট
Dwibedi,দ্বিবেদি
Paribeshbid,পরিবেশবিদ্‌
2605,২৬০৫
Jhanp,ঝাঁপ
Pulokesh,পুলকেশ
Chief minister,“মুখ্যমন্ত্রী
Jangipur,জঙ্গীপুর
Jadavpurei,যাদবপুরেই
Debotar,দেবতার
Cjapokoyenser,চাপোকোয়েনসের
Jekkhetre,যেক্ষেত্রে
Jalim,জালিম
Mote,মতে
Sonkhyanujayi,সংখ্যানুযায়ী
no idea,ব্র্যাঞ্চ
Lockgate,লকগেট
Elomelo,এলোমেলো
Majhbaate,মাঝবাটে
Namghore,নামঘরে
S,এস
Korchi,করছি৷
Nirjhonjat,নির্ঝঞ্ঝাট
Aasrafulke,আসরাফুলকে
Karkhanatiy,কারখানাটিই
Dabgram,ডাবগ্রাম
Shatposhlay,ষাটপশলায়
Autorickshaw,অটোরিকশা
Khona,খনা
Chandanake,চন্দনাকে
Younger son,ছোটছেলে
While reading,পঠনরত
So many years,এতবছর
So many years,এতবছর
Drinking,মদ্যপান
Doubt,সন্দেহ
Cozy ,মাখোমাখো
Trekking,ট্র্যাকিং
Investors,বিনিয়োগকারীদের
Temperature,তাপমাত্রাতেই
Cold,সর্দি
Where,হোয়্যার
Reflection,প্রতিচ্ছবি
Onoshon,অনশন
Akorshawk,আকর্ষক
Periyechhilo,পেরিয়েছিল
Kotorokomerye,কতরকমেরই
Shhorjontrer,ষড়যন্ত্রের
Prato ,প্রাত
Samir ,সমীর
Gabeshakdoler ,গবেষকদলের
Ramukaka,রামুকাকা
Monchero,মঞ্চেরও
Jonyoke,জন্যকে
Gram6ara,গ্রামছাড়া
Afimmugdhotar,আফিমমুগ্ধতার
Sondhanider,সন্ধানীদের
Concent,কনসেন্ট
Tahir,তাহির
Eksje,এক্সজে
Sekolbondi,শেকলবন্দি
Ekta,একটা
Bikegulir,বাইকগুলির
Maharastratei,মহারাষ্ট্রতেই
Praner,প্রাণের
Nigrihito,নিগৃহীত
Tistar,তিস্তার
Sovai,সভাই
Sochibo,সচিবও
Folano,ফলানো
Audit,গ্ল্য়ামার
Claustrophobe ,মুখ্যমন্ত্রীরও
Couch,দৈঘ্য
Jabo,শোরগোল
Historia ,জেএনইউয়ের
Jatrosurokhsar,যাত্রসুরক্ষার
Afridirao,আফ্রিদিরাও
Policeera,পুলিশেরা
Bimanbondorke,বিমানবন্দরকে
Salkiar,সালকিয়ার
Kapor,কাপড়
Paritran,পরিত্রাণ
Duttoi,দত্তই
chatrike,ছাত্রীকে
houni,হয়ওনি
connectione,কানেকশনে
bhomvobadi,ব্রহ্মবাদী
mogherini,মঘেরিনি
bati,বাটি
Richards,রিচার্ডস
Natokgulor,নাটকগুলোর
Boyeshei,বয়েসেই
Dashcamti,ড্যাশক্যামটি
Mohishashurmordini,মহিষাসুরমর্দ্দিনী
Happa,হাপ্পা
Lima,লিমা
Hoy,হয়
Shilpokormer,শিল্পকর্মের
Wifi er,ওয়াইফাইয়ের
Trustee er,ট্রাস্টির
duping,চোটটাও
tankerer,ট্যাঙ্কারের
Popoke,পোপকে
Mehetabke,মেহতাবকে
Drammer,ড্রামার
Jere,জেড়ে
Akritir,আকৃতির
Voutikota,ভৌতিকতা
dastagir,দস্তগীর
petalo,পেটালো
khanpurer,খানপুরের
gaitam,গাইতাম
gaikowad,গাইকোয়াড
kotha,কথা
mukhomantrirao,মুখ্যমন্ত্রীরাও
pourosabhai,পুরসভায
Shilpodyogirao,শিল্পদ্যোগীরাও
Riyanke,রিয়ানকে
Jayantar,জয়ন্তর
Kanpachhilo,কাঁপাচ্ছিল
Durgpatan,দুর্গপতন
Chhurun,ছুড়ুন
Agarpara,আগ়রপাড়া
Dighae,দীঘায়
Tanmoyke,তন্ময়কে
Biswarup,বিশ্বরূপ
Abdur,আব্দুর
Dwigun,দ্বিগুণ
Dolui er,দলুইয়ের
Saharanpur,সহারনপুর
Rokhar,রোখার
Chitra,চিত্র
Ramkamal,রামকমল
Boumar,বৌমার
Dani,দানী
Cricketi,ক্রিকেটই
Panji,পাঁজি
Komoreo,কোমরেও
Dakbo,ডাকব
Priyanka,“প্রিয়ঙ্কা
Bipashar,বিপাশার
Ladakh ke,লাদাখকে
Konorokom,কোনওরকম
Swaminathan,স্বামীনাথন
Autonomous,অটোনমাস
Kinasposto,কিনাস্পষ্ট
Selection,সিলেকশন
Uttarakhand,उत्तराखण्ड
Jimei,জিমেই
CS,সিএস
egoto,এগোত
haargor,হাড়গোড়
bodhir k,বধিরকে
lagao,লাগাও
871,৮৭১
united k,ইউনাইটেডকে
khullam,খুল্লম
monimukut,মণিমুকুট
palace ei,প্যালেসেই
engine a,ইঞ্জিনে
Richards er,রিচার্ডসের
bookie ra,বুকিরা
472,৪৭২
135,১৩৫টি
sensitive,স্পর্শকাতর
198,১৯৮টি
Takino,টাকিনো
student,ছাত্রীকেও
Ultra,আল্ট্রা
sex object,যৌনবস্তু
bitterness,তিক্ততা
Kormokortara,কর্মকর্তারাও
Thematic,থিম্যাটিক
Bongoposagarer,বঙ্গোপসাগেরর
Opobyahar,অপব্যহার
Natyakarer,নাট্যকারের
Protisthaponer,প্রতিস্থাপণের
Fotowala,ফোটোওয়ালা
Hell,হেল
Bibortone,বিবর্তনে
Porashona,প়ড়াশোনা
Lal-Holuder,লাল–হলুদের
Rokomtai,রকমটাই
Rono,রণ
Sundarike,সুন্দরীকে
Teghoria,তেঘরিয়া
Konishker,কণিষ্কের
Shuchanatei,সূচনাতেই
Retweeting,রিটুইটিং
Bharila,ভারিলা
Futlo,ফুটলো
648,৬৪৮
Desired,মনপসন্দ
"Devegowdas (name of a landowning clan from Karnataka, India)",দেবগৌড়ারা
4th date of month,৪ঠা
Chant (colloquial),মন্তর
Of 125 of those,১২৫টির
Foreigner,ভিন্‌দেশি
Half,অর্ধেকও
Of Mr Ashfaq,আসফাকের
Rebuilding,পুনর্গঠন
Electrical,ইলেক্ট্রিক্যাল
"Bhishma, the Grandfather",ভীষ্মপিতামহ
To Ms Ruhi,রুহিকে
Belonging to the town Khargone,খরগোনকর
Compulsion indeed,বাধ্যবাধকতাই
If sang,গাইলে
Sweetheart,দিলবর
Flower garland,ফুলমালা
Of Mr Devarshi,দেবর্ষির
English,ইংরিজি
Has come,এসছে
Fearsome,ভয়ের
Mr Jayangshu,জয়াংশু
Bandhobder,বান্ধবদের
Patanir,পাটানির
Pose,পোজে
Ghotonakrome,ঘটনাক্রম
Gini,গিনি
Nakshal,নকশাল
Structured,স্ট্রাকচার্ড
Medical,মেডিক্যাল
Bishonno,বিষণ্ণ
Jounosongike,যৌনসঙ্গীকে
Setugulor,সেতুগুলির
Modhyanobhoj,মধ্যাহ্নভোজ
Mohakando,মহাকাণ্ড
Slok,শ্লোক
Nutoner,নূতনের
Kingbodonti,কিংবদন্তি
Rigging,রিগিং
Gore,গডে়
Kishorti,কিশোরীটি
Rotonay,রটনায়
Malaria,ম্যালেরিয়া
Envy,এমভি
helpful,হেল্পফুল
kobirao,কবিরাও
spier,স্পাইএর
conferencer,কনফারেন্সিংয়ের
jaohar,জওহর
minesotar,মিনেসোটার
ranchiteo,রাঁচিতেও
chalatam,চালাতাম
List's,তালিকার
Acquisition,অধিগ্রহণের
Mr. Bhushan,ভূষণবাবু
Dharani,ধরণী
Fish,মত্‍স
Light,আলোই
Deepest corner,অতলান্ত
Snake,সাপের
Nakamura,নাকামুরা
Dubonto,ডুবন্ত
Woody,উডি
Shaorafulite,শেওড়াফুলিতে
Kirlosker,কির্লোস্কার
DM der,ডিএমদের
2600,২৬০০
Tahasildar,তহসিলদার
Assistant,অ্যাসিস্ট্যান্ত
Diyei,দিয়েই
Medose,মেডোজে
Haider e,হায়দরএ
Opodostho,অপদস্থ
Apnapan,আপনাপন
DYFI,ডিওয়াইএফআই
Subway,সাবওয়ে
Santos ke,স্যান্টোসকে
Andrea,অ্যান্ড্রেয়া
Sonkher,শঙ্খের
2nd,২রা
Chalchitra,চালচিত্র
Sajay,সাজায়—
Votdharaniboddho,ভোটধারানিবদ্ধ
Jubotikul,যুবতীকুল
Sobai,সবাই
Hobeo,হবেও
Bui er,বুইয়ের
Workers,ওয়ার্কার্স
Take,নিয়া
Rajyaowari,রাজ্যওয়াড়ি
Filomoser,ফিলমসের
Neshakei,নেশাকেই
Protibarer,প্রতিবারের
Thakalei,ঠেকালেই
Tomy,টমি
Swapna,স্বপ্না
Dakshinbongo,দক্ষিণবঙ্গ—
Dakshinbongo,দক্ষিণবঙ্গ—
Duttoker,দত্তকের
Madhubals,মধুবালা
Bhoyankar,ভয়ংকর
Singhbhumo,সিংভূম
Suvendudake,শুভেন্দুদাকে
Juktikei,যুক্তিকেই
Talaha,তালাহা
Joritora,জড়িতরা
Osombhobkei,অসম্ভবকেই
1875,১৮৭৫
janmasthomi,জন্মাষ্টমীকে
nirapottarokhider,নিরাপত্তীরক্ষীদের
2002,২০০২
bondie,বন্দিই
